Nr. ;Unternehmen;Fachrichtung;Max. Teilnehmer;Max. Veranstaltungen;Frühester Zeitpunkt
1;Zentis;Industriekaufleute;20;5;A
2;Babor Kosmetik ;Industriekaufleute;20;5;A
3;EVA (Stawag, RegioIt, Aseag..);Industriekaufleute;20;5;A
4;Grünenthal;Industriekaufleute, BWL Plus (Industriekfm. Plus BWL-Studium), Kaufleute für Büromanagement                                  ;20;5;A
5;RWTH Aachen;Kaufleute für Büromanagement;20;5;A
6;Aldi ;Einzelhandelskaufleute;20;5;A
7;Bauhaus;Einzelhandelskaufleute, Handelsfachwirte, Duales Studium;20;5;A
8;Sparkasse Aachen ;Bankkaufleute;20;5;A
9;Aachener Bank ;Bankkaufleute;20;5;A
10;Debeka;Kaufleute für Versicherungen und Finanzen ;20;5;B
11;Steuerberaterkammer Köln ;Steuerfachangestellte;20;5;A
12;Rechtsanwaltberufe;Rechtsanwaltsfachangestellte;20;5;A
13;Notarberufe;Notarfachangestellte;20;5;A
14;Spedition Hammer;Kaufleute für Spedition und Lagerlogistik, Kaufleute für Büromanagement                         ;20;5;A
15;Inform;Kaufmann/-frau für Büromanagement ;20;5;A
16;Inform;Duales Studium Wirtschaftsinformatik ;20;5;A
17;StädteRegion Aachen ;Verwaltungsfachangestellte und Duales Studium Bachelor of Laws/Arts;20;5;A
18;Finanzamt;duales Studium Dipl. Finanzwirt/-in ;20;5;A
19;Finanzamt ;Ausbildung Finanzwirt/-in ;20;5;A
20;Justizvollzugsanstalt;Beamter im allgemeinen Vollzugsdienst, Dipl-Verwaltungswirt (FH);20;5;A
21;Zoll Aachen;Beamter im mittleren und gehobenen Dienst ;20;5;A
22;Polizei;Polizeikommisar*in ;25;5;A
23;FH Aachen - Studienberatung;;20;5;A
24;RWTH Aachen - Studienberatung;Hinweis: Studium hier nur mit Abitur möglich;20;5;A
25;Wirtschaftsrecht FH-Aachen;;20;5;A
26;Soziale Arbeit ;;20;5;A
27;Lehramt Berufskolleg;;20;5;A
